YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,MN,Minnesota,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,11.1,11.1,,,9.5,13,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN04,,CRDRATE,RACE,API,,,,
2015,2019,DC,District of Columbia,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,10,10,,,,,Sex,Female,,,,,POINT (-77.036871 38.907192),11,CAN,CAN03,,NMBR,SEX,SEXF,,,,
2015,2019,US,United States,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,16.5,16.5,,,16.4,16.7,Race/Ethnicity,"Black, non-Hispanic",,,,,,59,CAN,CAN01,,CRDRATE,RACE,BLK,,,,
2016,2020,HI,Hawaii,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,21.1,21.1,,,18.1,24.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN02,,AGEADJRATE,RACE,WHT,,,,
2015,2019,NM,New Mexico,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,1222,1222,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN08,,NMBR,RACE,HIS,,,,
2015,2019,PA,Pennsylvania,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-77.86070029399963 40.79373015200048),42,CAN,CAN01,,AGEADJRATE,RACE,AIAN,,,,
2015,2019,AR,Arkansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,497.1,497.1,,,458.5,538.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN07,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,NJ,New Jersey,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,168.7,168.7,,,165.4,172.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2015,2019,WA,Washington,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,20.2,20.2,,,19.6,20.9,Overall,Overall,,,,,POINT (-120.47001078999972 47.52227862900048),53,CAN,CAN05,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,MN,Minnesota,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,Number,Number,380,380,,,,,Sex,Female,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN01,,NMBR,SEX,SEXF,,,,
